 Folder, 0.95, File, : 0.sav , Bus Number:,8001, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8002, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8003, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8004, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8005, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8006, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8007, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8008, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8009, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8010, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8011, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8012, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8013, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8014, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8015, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8016, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8017, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 0.sav , Bus Number:,8018, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
