 ,PCC: ,0.95, File Name ,0.sav, P: ,-2.4697291851, Q: ,161.83656311
 ,PCC: ,0.95, File Name ,1.sav, P: ,16.591178894, Q: ,161.104507446
 ,PCC: ,0.95, File Name ,2.sav, P: ,28.8464450836, Q: ,160.299057007
 ,PCC: ,0.95, File Name ,3.sav, P: ,41.5048294067, Q: ,159.443161011
 ,PCC: ,0.95, File Name ,4.sav, P: ,53.701210022, Q: ,158.063095093
 ,PCC: ,0.95, File Name ,5.sav, P: ,66.352355957, Q: ,156.633483887
 ,PCC: ,0.95, File Name ,6.sav, P: ,78.938873291, Q: ,154.701126099
 ,PCC: ,0.95, File Name ,7.sav, P: ,91.5254745483, Q: ,152.688735962
 ,PCC: ,0.95, File Name ,8.sav, P: ,103.673294067, Q: ,150.381317139
 ,PCC: ,0.95, File Name ,9.sav, P: ,127.68561554, Q: ,145.366149902
 ,PCC: ,0.95, File Name ,10.sav, P: ,140.172454834, Q: ,142.273193359
 ,PCC: ,0.95, File Name ,11.sav, P: ,153.328384399, Q: ,137.126327515
 ,PCC: ,0.95, File Name ,12.sav, P: ,165.902023315, Q: ,126.459442139
 ,PCC: ,0.95, File Name ,13.sav, P: ,177.499420166, Q: ,110.01410675
 ,PCC: ,0.95, File Name ,14.sav, P: ,191.213806152, Q: ,84.2083129883
 ,PCC: ,0.95, File Name ,15.sav, P: ,202.364440918, Q: ,55.8104743958
 ,PCC: ,0.95, File Name ,16.sav, P: ,207.787963867, Q: ,37.3122634888
 ,PCC: ,0.95, File Name ,17.sav, P: ,209.465332031, Q: ,28.8254623413
 ,PCC: ,0.95, File Name ,18.sav, P: ,215.342330933, Q: ,-22.202917099
 ,PCC: ,0.95, File Name ,19.sav, P: ,216.76902771, Q: ,-33.1179275513
 ,PCC: ,0.95, File Name ,20.sav, P: ,-0.557158350945, Q: ,-41.2383880615
 ,PCC: ,0.95, File Name ,21.sav, P: ,18.463186264, Q: ,-41.9764404297
 ,PCC: ,0.95, File Name ,22.sav, P: ,30.6789569855, Q: ,-42.5029792786
 ,PCC: ,0.95, File Name ,23.sav, P: ,43.2981185913, Q: ,-43.0390472412
 ,PCC: ,0.95, File Name ,24.sav, P: ,55.4436454773, Q: ,-43.3308334351
 ,PCC: ,0.95, File Name ,25.sav, P: ,68.0401916504, Q: ,-44.2480392456
 ,PCC: ,0.95, File Name ,26.sav, P: ,80.5658721924, Q: ,-44.4920349121
 ,PCC: ,0.95, File Name ,27.sav, P: ,93.0872955322, Q: ,-45.2297859192
 ,PCC: ,0.95, File Name ,28.sav, P: ,105.163215637, Q: ,-45.9609222412
 ,PCC: ,0.95, File Name ,29.sav, P: ,129.033691406, Q: ,-46.7982788086
 ,PCC: ,0.95, File Name ,30.sav, P: ,141.434265137, Q: ,-47.8188591003
 ,PCC: ,0.95, File Name ,31.sav, P: ,154.478744507, Q: ,-46.0373535156
 ,PCC: ,0.95, File Name ,32.sav, P: ,166.836196899, Q: ,-43.6618614197
 ,PCC: ,0.95, File Name ,33.sav, P: ,178.151245117, Q: ,-40.276927948
 ,PCC: ,0.95, File Name ,34.sav, P: ,191.50604248, Q: ,-35.0483551025
 ,PCC: ,0.95, File Name ,35.sav, P: ,202.272964478, Q: ,-55.7650642395
 ,PCC: ,0.95, File Name ,36.sav, P: ,207.598754883, Q: ,-52.8575668335
 ,PCC: ,0.95, File Name ,37.sav, P: ,209.314544678, Q: ,-44.8552131653
 ,PCC: ,0.95, File Name ,38.sav, P: ,215.211700439, Q: ,-47.4853858948
 ,PCC: ,0.95, File Name ,39.sav, P: ,216.708892822, Q: ,-47.536151886
 ,PCC: ,1, File Name ,0.sav, P: ,-1.27939558029, Q: ,108.748558044
 ,PCC: ,1, File Name ,1.sav, P: ,17.7677650452, Q: ,108.383430481
