 ,PCC: ,0.95, File Name ,0.sav, P: ,-2.48010277748, Q: ,162.243240356
 ,PCC: ,0.95, File Name ,1.sav, P: ,17.0607891083, Q: ,161.493881226
 ,PCC: ,0.95, File Name ,2.sav, P: ,29.8469333649, Q: ,160.631896973
 ,PCC: ,0.95, File Name ,3.sav, P: ,42.9999885559, Q: ,160.095977783
 ,PCC: ,0.95, File Name ,4.sav, P: ,55.7021560669, Q: ,159.404174805
 ,PCC: ,0.95, File Name ,5.sav, P: ,68.8115081787, Q: ,158.637832642
 ,PCC: ,0.95, File Name ,6.sav, P: ,81.8483886719, Q: ,157.747467041
 ,PCC: ,0.95, File Name ,7.sav, P: ,94.9092483521, Q: ,156.744995117
 ,PCC: ,0.95, File Name ,8.sav, P: ,107.535575867, Q: ,156.218505859
 ,PCC: ,0.95, File Name ,9.sav, P: ,132.410736084, Q: ,154.720611572
 ,PCC: ,0.95, File Name ,10.sav, P: ,145.424667358, Q: ,150.466400146
 ,PCC: ,0.95, File Name ,11.sav, P: ,159.2578125, Q: ,138.353866577
 ,PCC: ,0.95, File Name ,12.sav, P: ,172.376708984, Q: ,122.701583862
 ,PCC: ,0.95, File Name ,13.sav, P: ,184.450668335, Q: ,105.417076111
 ,PCC: ,0.95, File Name ,14.sav, P: ,198.647750854, Q: ,78.405166626
 ,PCC: ,0.95, File Name ,15.sav, P: ,210.306381226, Q: ,48.256603241
 ,PCC: ,0.95, File Name ,16.sav, P: ,216.042633057, Q: ,27.9968109131
 ,PCC: ,0.95, File Name ,17.sav, P: ,217.769805908, Q: ,17.0423965454
 ,PCC: ,0.95, File Name ,18.sav, P: ,223.942092896, Q: ,-38.4514732361
 ,PCC: ,0.95, File Name ,19.sav, P: ,225.431854248, Q: ,-45.0990600586
 ,PCC: ,0.95, File Name ,20.sav, P: ,-0.560856819153, Q: ,-41.8004112244
 ,PCC: ,0.95, File Name ,21.sav, P: ,18.9469814301, Q: ,-43.1024703979
 ,PCC: ,0.95, File Name ,22.sav, P: ,31.6976509094, Q: ,-44.183177948
 ,PCC: ,0.95, File Name ,23.sav, P: ,44.7761611938, Q: ,-45.2668647766
 ,PCC: ,0.95, File Name ,24.sav, P: ,57.4459190369, Q: ,-47.2277946472
 ,PCC: ,0.95, File Name ,25.sav, P: ,70.5206069946, Q: ,-49.2512741089
 ,PCC: ,0.95, File Name ,26.sav, P: ,83.5123062134, Q: ,-51.7299957275
 ,PCC: ,0.95, File Name ,27.sav, P: ,96.4783325195, Q: ,-54.132598877
 ,PCC: ,0.95, File Name ,28.sav, P: ,109.067878723, Q: ,-57.0853996277
 ,PCC: ,0.95, File Name ,29.sav, P: ,133.8465271, Q: ,-63.5261764526
 ,PCC: ,0.95, File Name ,30.sav, P: ,146.670944214, Q: ,-67.3582992554
 ,PCC: ,0.95, File Name ,31.sav, P: ,160.202713013, Q: ,-70.0106964111
 ,PCC: ,0.95, File Name ,32.sav, P: ,172.999694824, Q: ,-72.0177993774
 ,PCC: ,0.95, File Name ,33.sav, P: ,184.751266479, Q: ,-73.4745788574
 ,PCC: ,0.95, File Name ,34.sav, P: ,198.541534424, Q: ,-74.0626068115
 ,PCC: ,0.95, File Name ,35.sav, P: ,210.265594482, Q: ,-46.6567611694
 ,PCC: ,0.95, File Name ,36.sav, P: ,215.918304443, Q: ,-43.5342178345
 ,PCC: ,0.95, File Name ,37.sav, P: ,217.622711182, Q: ,-41.8516197205
 ,PCC: ,0.95, File Name ,38.sav, P: ,223.90296936, Q: ,-44.446472168
 ,PCC: ,0.95, File Name ,39.sav, P: ,225.431854248, Q: ,-45.0990600586
 ,PCC: ,1, File Name ,0.sav, P: ,-1.29316937923, Q: ,109.638618469
 ,PCC: ,1, File Name ,1.sav, P: ,18.2406101227, Q: ,108.809677124
 ,PCC: ,1, File Name ,2.sav, P: ,31.0215625763, Q: ,107.890304565
 ,PCC: ,1, File Name ,3.sav, P: ,44.1746063232, Q: ,107.353820801
 ,PCC: ,1, File Name ,4.sav, P: ,56.8774528503, Q: ,106.669067383
 ,PCC: ,1, File Name ,5.sav, P: ,69.9893722534, Q: ,105.930114746
 ,PCC: ,1, File Name ,6.sav, P: ,83.0300064087, Q: ,105.080032349
 ,PCC: ,1, File Name ,7.sav, P: ,96.0959701538, Q: ,104.132637024
 ,PCC: ,1, File Name ,8.sav, P: ,108.739639282, Q: ,103.274963379
 ,PCC: ,1, File Name ,9.sav, P: ,133.63835144, Q: ,102.034065247
 ,PCC: ,1, File Name ,10.sav, P: ,146.587341309, Q: ,101.215705872
 ,PCC: ,1, File Name ,11.sav, P: ,160.208053589, Q: ,99.0614624023
 ,PCC: ,1, File Name ,12.sav, P: ,173.11239624, Q: ,95.2567977905
 ,PCC: ,1, File Name ,13.sav, P: ,184.961196899, Q: ,92.0255813599
 ,PCC: ,1, File Name ,14.sav, P: ,198.898925781, Q: ,86.3020477295
 ,PCC: ,1, File Name ,15.sav, P: ,210.509674072, Q: ,65.758102417
 ,PCC: ,1, File Name ,16.sav, P: ,216.298919678, Q: ,49.7379989624
 ,PCC: ,1, File Name ,17.sav, P: ,218.040420532, Q: ,42.1171112061
 ,PCC: ,1, File Name ,18.sav, P: ,224.487045288, Q: ,7.27847671509
 ,PCC: ,1, File Name ,19.sav, P: ,225.947143555, Q: ,-29.2594261169
 ,PCC: ,1, File Name ,20.sav, P: ,-1.2239112854, Q: ,-104.459869385
 ,PCC: ,1, File Name ,21.sav, P: ,18.2858600616, Q: ,-105.219329834
 ,PCC: ,1, File Name ,22.sav, P: ,31.0333690643, Q: ,-106.335411072
 ,PCC: ,1, File Name ,23.sav, P: ,44.1024398804, Q: ,-108.045173645
 ,PCC: ,1, File Name ,24.sav, P: ,56.7662963867, Q: ,-110.072097778
 ,PCC: ,1, File Name ,25.sav, P: ,69.8380203247, Q: ,-112.128875732
 ,PCC: ,1, File Name ,26.sav, P: ,82.8355636597, Q: ,-114.022483826
 ,PCC: ,1, File Name ,27.sav, P: ,95.7909851074, Q: ,-117.064666748
 ,PCC: ,1, File Name ,28.sav, P: ,108.377075195, Q: ,-120.056427002
 ,PCC: ,1, File Name ,29.sav, P: ,133.151702881, Q: ,-126.542434692
 ,PCC: ,1, File Name ,30.sav, P: ,145.999282837, Q: ,-130.406204224
 ,PCC: ,1, File Name ,31.sav, P: ,159.520797729, Q: ,-132.885040283
 ,PCC: ,1, File Name ,32.sav, P: ,172.341812134, Q: ,-134.542770386
 ,PCC: ,1, File Name ,33.sav, P: ,184.341537476, Q: ,-124.509880066
 ,PCC: ,1, File Name ,34.sav, P: ,198.663864136, Q: ,-95.7633895874
 ,PCC: ,1, File Name ,35.sav, P: ,210.644454956, Q: ,-44.5703811646
 ,PCC: ,1, File Name ,36.sav, P: ,216.321777344, Q: ,-39.7802810669
 ,PCC: ,1, File Name ,37.sav, P: ,218.033218384, Q: ,-37.4308280945
 ,PCC: ,1, File Name ,38.sav, P: ,224.340179443, Q: ,-39.7512550354
 ,PCC: ,1, File Name ,39.sav, P: ,225.87538147, Q: ,-40.3342819214
 ,PCC: ,1.05, File Name ,0.sav, P: ,-0.638782560825, Q: ,50.6523666382
 ,PCC: ,1.05, File Name ,1.sav, P: ,18.8887290955, Q: ,49.752986908
 ,PCC: ,1.05, File Name ,2.sav, P: ,31.6717796326, Q: ,49.2675056458
 ,PCC: ,1.05, File Name ,3.sav, P: ,44.8186225891, Q: ,48.2510948181
 ,PCC: ,1.05, File Name ,4.sav, P: ,57.522808075, Q: ,47.580532074
 ,PCC: ,1.05, File Name ,5.sav, P: ,70.6380233765, Q: ,46.8768730164
 ,PCC: ,1.05, File Name ,6.sav, P: ,83.6870880127, Q: ,46.0743942261
 ,PCC: ,1.05, File Name ,7.sav, P: ,96.7549209595, Q: ,45.1902809143
 ,PCC: ,1.05, File Name ,8.sav, P: ,109.409538269, Q: ,43.9306335449
 ,PCC: ,1.05, File Name ,9.sav, P: ,134.345779419, Q: ,41.4924316406
 ,PCC: ,1.05, File Name ,10.sav, P: ,147.308273315, Q: ,40.3432655334
 ,PCC: ,1.05, File Name ,11.sav, P: ,160.939926147, Q: ,37.266784668
 ,PCC: ,1.05, File Name ,12.sav, P: ,173.834182739, Q: ,33.8740005493
 ,PCC: ,1.05, File Name ,13.sav, P: ,185.682067871, Q: ,30.1125679016
 ,PCC: ,1.05, File Name ,14.sav, P: ,199.601013184, Q: ,24.1870651245
 ,PCC: ,1.05, File Name ,15.sav, P: ,211.051528931, Q: ,20.4279937744
 ,PCC: ,1.05, File Name ,16.sav, P: ,216.723449707, Q: ,19.8733673096
 ,PCC: ,1.05, File Name ,17.sav, P: ,218.419219971, Q: ,18.167881012
 ,PCC: ,1.05, File Name ,18.sav, P: ,224.768615723, Q: ,16.842300415
 ,PCC: ,1.05, File Name ,19.sav, P: ,226.2890625, Q: ,13.9183578491
 ,PCC: ,1.05, File Name ,20.sav, P: ,-2.39913845062, Q: ,-172.765792847
 ,PCC: ,1.05, File Name ,21.sav, P: ,17.1099357605, Q: ,-173.532974243
 ,PCC: ,1.05, File Name ,22.sav, P: ,29.8545742035, Q: ,-174.681350708
 ,PCC: ,1.05, File Name ,23.sav, P: ,42.918132782, Q: ,-176.452636719
 ,PCC: ,1.05, File Name ,24.sav, P: ,55.575920105, Q: ,-178.54750061
 ,PCC: ,1.05, File Name ,25.sav, P: ,68.6447296143, Q: ,-180.63734436
 ,PCC: ,1.05, File Name ,26.sav, P: ,81.6438674927, Q: ,-182.51385498
 ,PCC: ,1.05, File Name ,27.sav, P: ,94.5947113037, Q: ,-185.502761841
 ,PCC: ,1.05, File Name ,28.sav, P: ,107.257522583, Q: ,-185.410186768
 ,PCC: ,1.05, File Name ,29.sav, P: ,132.242523193, Q: ,-183.449691772
 ,PCC: ,1.05, File Name ,30.sav, P: ,145.218322754, Q: ,-181.91015625
 ,PCC: ,1.05, File Name ,31.sav, P: ,159.049133301, Q: ,-172.526519775
 ,PCC: ,1.05, File Name ,32.sav, P: ,172.345275879, Q: ,-153.756912231
 ,PCC: ,1.05, File Name ,33.sav, P: ,184.565628052, Q: ,-132.332595825
 ,PCC: ,1.05, File Name ,34.sav, P: ,198.808731079, Q: ,-110.826026917
 ,PCC: ,1.05, File Name ,35.sav, P: ,210.561676025, Q: ,-86.1778640747
 ,PCC: ,1.05, File Name ,36.sav, P: ,216.397445679, Q: ,-72.3627319336
 ,PCC: ,1.05, File Name ,37.sav, P: ,218.146606445, Q: ,-66.8474273682
 ,PCC: ,1.05, File Name ,38.sav, P: ,224.561141968, Q: ,-60.0411605835
 ,PCC: ,1.05, File Name ,39.sav, P: ,226.251571655, Q: ,-36.2669754028
